,0
0,"[0.6414814574566738, 0.4337430342808466, 0.773669028897805, 1, 12, 0.6591679631122507, 0.12153675673024045, 0.07752148641773993, 0.5982310008075257, 0.5202879442380947] : 1236.4754113581046"
1,"[0.6414814574566738, 0.46800586391062593, 0.14343687810074257, 1, 18, 0.17748106736148983, 0.8280851513290556, 0.5478058637327432, 0.815065698766832, 0.2764979853075693] : 1229.5551057663777"
2,"[0.6414814574566738, 0.6141554617373882, 0.42320359002484553, 2, 13, 0.6591679631122507, 0.8742206717606789, 0.7875534616266162, 0.5982310008075257, 0.6478811093502597] : 1221.3009854688441"
3,"[0.42951904766681015, 0.8345762069892013, 0.026679988557130385, 1, 1, 0.26237571883123023, 0.8280851513290556, 0.21663764117803652, 0.815065698766832, 0.2764979853075693] : 1220.9457560518904"
4,"[0.8651807886868005, 0.8702841974066705, 0.773669028897805, 2, 20, 0.26237571883123023, 0.8280851513290556, 0.07752148641773993, 0.23063947034400378, 0.34794820677768423] : 1217.630705462142"
5,"[0.6414814574566738, 0.4337430342808466, 0.026679988557130385, 1, 12, 0.6591679631122507, 0.12153675673024045, 0.5478058637327432, 0.5982310008075257, 0.5202879442380947] : 1216.394634990188"
6,"[0.6414814574566738, 0.46800586391062593, 0.026679988557130385, 1, 1, 0.6591679631122507, 0.9050712399071233, 0.21663764117803652, 0.5982310008075257, 0.6478811093502597] : 1213.7176505138532"
7,"[0.6414814574566738, 0.4337430342808466, 0.773669028897805, 1, 12, 0.017496595651837366, 0.8280851513290556, 0.398704411892033, 0.1547343891928018, 0.5202879442380947] : 1210.6467901272079"
8,"[0.6414814574566738, 0.8702841974066705, 0.026679988557130385, 2, 1, 0.26237571883123023, 0.8280851513290556, 0.5478058637327432, 0.23063947034400378, 0.34794820677768423] : 1209.0035110751344"
9,"[0.42951904766681015, 0.8345762069892013, 0.026679988557130385, 1, 1, 0.26237571883123023, 0.9855338243411855, 0.21663764117803652, 0.07054640040821891, 0.7294945718441675] : 1207.2406723109707"
