,0
0,"[0.4859717980626773, 0.6061377722530442, 0.7690359014217759, 5, 2, 0.5359423083410759, 0.2502058625939866, 0.21263002112864848, 0.9258892735541014, 0.8120464407808758] : (103.0, 1852.7724310776946, 1600.709022556391)"
1,"[0.21510134242130952, 0.1286801263701458, 0.11039137378907393, 5, 17, 0.5359423083410759, 0.593886234103528, 0.3482681635325693, 0.4999184754885838, 0.823227772616259] : (100.0, 1714.0587719298246, 1581.9473684210527)"
2,"[0.4859717980626773, 0.6061377722530442, 0.6791394671608604, 1, 2, 0.5359423083410759, 0.6473674336398236, 0.21263002112864848, 0.4999184754885838, 0.823227772616259] : (100.0, 1761.7078947368423, 1693.0122807017547)"
3,"[0.4859717980626773, 0.05601299496893375, 0.6791394671608604, 2, 5, 0.5861439168916271, 0.10428822176247932, 0.8713637251908182, 0.7986082547322793, 0.07793146069357137] : (99.5, 1546.6043859649121, 1836.215789473684)"
4,"[0.4859717980626773, 0.05601299496893375, 0.9665322206011018, 5, 15, 0.07580206719198224, 0.2502058625939866, 0.6563727880463048, 0.4999184754885838, 0.19044348061712624] : (98.0, 1702.6333333333332, 1647.1894736842105)"
5,"[0.200659139972179, 0.05601299496893375, 0.6791394671608604, 5, 19, 0.5359423083410759, 0.2502058625939866, 0.3482681635325693, 0.4999184754885838, 0.823227772616259] : (97.0, 1687.677192982456, 1709.3525062656643)"
6,"[0.4859717980626773, 0.05601299496893375, 0.6791394671608604, 10, 2, 0.5359423083410759, 0.2502058625939866, 0.4023319823302509, 0.68898035014846, 0.07793146069357137] : (96.5, 1530.4649122807016, 1757.6394736842105)"
7,"[0.4859717980626773, 0.9517052274233179, 0.9665322206011018, 5, 2, 0.07580206719198224, 0.2502058625939866, 0.4023319823302509, 0.68898035014846, 0.823227772616259] : (96.5, 1762.7140350877191, 1661.603383458647)"
8,"[0.4859717980626773, 0.05601299496893375, 0.6791394671608604, 5, 17, 0.4543335144353925, 0.6473674336398236, 0.9558647861028332, 0.4999184754885838, 0.1592536650663432] : (96.0, 1694.2932330827068, 1711.4829573934837)"
9,"[0.4859717980626773, 0.6061377722530442, 0.7786402137116915, 5, 17, 0.5359423083410759, 0.593886234103528, 0.21263002112864848, 0.4999184754885838, 0.823227772616259] : (96.0, 1899.3565162907269, 1606.7759398496241)"
