,0
0,"[0.7025354037835996, 0.4954568845391394, 0.24574742407340433, 8, 1, 0.27603256347642147, 0.012023653463780981, 0.15546180831645962, 0.6074143644747407, 0.8013144353346522] : (10.5, 1767.2222222222222, 1136.0)"
1,"[0.7593185115399833, 0.5585647230751948, 0.35984856368654194, 8, 10, 0.38757608577496416, 0.43364205218846885, 0.6079868859281742, 0.22093645617950997, 0.8037013343897705] : (10.0, 1639.7777777777778, 1914.5)"
2,"[0.7593185115399833, 0.488635209964254, 0.61436687585949, 4, 9, 0.06945215372745328, 0.6901662112718169, 0.5240734209001486, 0.34674538375021413, 0.6956556704075226] : (10.0, 1685.25, 1765.3333333333333)"
3,"[0.7025354037835996, 0.4954568845391394, 0.24574742407340433, 7, 14, 0.27603256347642147, 0.14843041253287137, 0.5222538335580464, 0.44362820010999193, 0.41346302456531314] : (10.0, 1832.0, 1609.5)"
4,"[0.7593185115399833, 0.08119764715866884, 0.02452328745774457, 9, 19, 0.03850756618254658, 0.29502554129563596, 0.15546180831645962, 0.34674538375021413, 0.4351041465239035] : (10.0, 1866.0, 1576.5)"
5,"[0.7593185115399833, 0.488635209964254, 0.61436687585949, 5, 1, 0.06402007732392101, 0.28574653484738555, 0.5222538335580464, 0.43635638382265396, 0.8013144353346522] : (10.0, 2331.0, 1412.5)"
6,"[0.7593185115399833, 0.488635209964254, 0.1529106067385354, 5, 10, 0.024715826132214014, 0.5369454922959966, 0.6079868859281742, 0.22093645617950997, 0.41346302456531314] : (9.5, 1396.125, 1850.25)"
7,"[0.28828716013106903, 0.2476278881396422, 0.24574742407340433, 9, 4, 0.6681270392978195, 0.31475832287708116, 0.5222538335580464, 0.44362820010999193, 0.4351041465239035] : (9.5, 1456.0, 1966.25)"
8,"[0.7025354037835996, 0.4954568845391394, 0.24574742407340433, 7, 14, 0.6091828125497332, 0.29502554129563596, 0.5222538335580464, 0.44362820010999193, 0.41346302456531314] : (9.5, 1506.875, 2273.5)"
9,"[0.21206650944706307, 0.488635209964254, 0.61436687585949, 5, 1, 0.06402007732392101, 0.28574653484738555, 0.6079868859281742, 0.22093645617950997, 0.1703766989191018] : (9.5, 1525.25, 2006.0)"
10,"[0.7593185115399833, 0.7889429761942931, 0.1529106067385354, 9, 1, 0.38757608577496416, 0.31475832287708116, 0.15546180831645962, 0.34674538375021413, 0.8037013343897705] : (9.5, 1529.875, 2149.75)"
11,"[0.7593185115399833, 0.42343273196091447, 0.1529106067385354, 4, 19, 0.9606669350037093, 0.9358526904562374, 0.15546180831645962, 0.3187165222228704, 0.8037013343897705] : (9.5, 1554.5, 2122.75)"
