,0
0,"[0.16846696454019505, 0.9633468064642499, 0.789097289541181, 2, 19, 0.8795128759915216, 0.9204724802858336, 0.3887979788155116, 0.8242883235207035, 0.6129754483818649, 'CoEvELO'] : (83.0, 1783.2357142857143, 1577.4935897435898)"
1,"[0.965954342890369, 0.4145858805797874, 0.5024027405763758, 8, 17, 0.6860722488962545, 0.9487061328399283, 0.03804765977886704, 0.11268153953011151, 0.20435247897995978, 'GABotsLit'] : (76.5, 1668.8460884353742, 1851.492857142857)"
2,"[0.10373467819859672, 0.961272247785899, 0.8833467825088809, 6, 7, 0.3245942883610985, 0.9685604724645657, 0.6039455496315845, 0.13132116016646456, 0.6308930758328315, 'CoEvELO'] : (75.0, 1726.0130952380953, 1648.7371794871797)"
3,"[0.9609987620355505, 0.20610609964580984, 0.507066433589285, 4, 4, 0.9707413947048525, 0.3705438550855966, 0.19917051121690899, 0.18188515852994291, 0.1173103447579249, 'CoEvGA'] : (72.5, 1652.6202380952382, 1791.1988095238096)"
4,"[0.24828854117733912, 0.8999707242482075, 0.7263712750326307, 1, 19, 0.8089887021281921, 0.44300790338559803, 0.5108326262050714, 0.226295668792857, 0.9835853623793082, 'GABotsLit'] : (71.5, 1609.3309523809526, 1814.1761904761904)"
5,"[0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004, 'GABotsLit'] : (71.5, 1747.202380952381, 1795.9154761904763)"
6,"[0.5296680302038603, 0.7913396501236944, 0.1484756029295331, 6, 1, 0.6141293126585077, 0.7893003170753544, 0.27548353980645435, 0.1367370822796239, 0.32084294928487345, 'CoEvGA'] : (71.0, 1660.1059523809524, 1795.8904761904762)"
7,"[0.3390729325360927, 0.1305158934195393, 0.06912474831286741, 8, 2, 0.7841551494600603, 0.8182534032606329, 0.7844896246021426, 0.4211679057584541, 0.7454018349476341, 'CoEvGA'] : (71.0, 1781.8583333333333, 1826.7369047619047)"
8,"[0.12297458178514886, 0.6892306869658429, 0.7148493268065897, 6, 14, 0.8592884890421564, 0.5742506862351809, 0.5004585268846088, 0.4516465027404083, 0.016439674148995054, 'GABotsLit'] : (69.0, 1658.6452380952383, 1618.744387755102)"
9,"[0.8466639164968095, 0.2786706656361061, 0.030620401970831934, 7, 18, 0.0600575737756297, 0.8293527663885787, 0.5109352989009032, 0.7824192308453812, 0.5438145140559759, 'CoEvELO'] : (68.5, 1767.254761904762, 1690.4178571428572)"
10,"[0.4859717980626773, 0.6061377722530442, 0.7690359014217759, 5, 2, 0.5359423083410759, 0.2502058625939866, 0.21263002112864848, 0.9258892735541014, 0.8120464407808758, 'CoEvGA'] : (68.5, 1776.4166666666665, 1691.3535714285715)"
11,"[0.9291443488886724, 0.7502030751695131, 0.7437527057678102, 2, 2, 0.511100935792232, 0.7213028361032197, 0.5590256083711386, 0.2615184431104183, 0.7774327843360552, 'CoEvELO'] : (66.0, 1821.2452380952382, 1568.0523809523809)"
12,"[0.956636271863732, 0.2579380498672741, 0.6393568712921733, 7, 17, 0.023178269925433037, 0.1866656204511874, 0.8990435733515699, 0.6637621419651777, 0.7502877068361935, 'CoEvELO'] : (65.0, 1634.8679487179486, 1811.6544217687074)"
13,"[0.18243372802157765, 0.018896528679374525, 0.8960905257877619, 5, 11, 0.9502573366218408, 0.608636223992721, 0.3560660179061693, 0.3398173646106416, 0.2635904919086409, 'CoEvGA'] : (61.0, 1845.8782051282049, 1687.0246598639455)"
14,"[0.8236764429411386, 0.3421385248489114, 0.03804993858450434, 5, 12, 0.6771749205448041, 0.10525102343194481, 0.9302053416800453, 0.4498789212944384, 0.44761875467539647, 'GABotsLit'] : (60.0, 1803.9845238095238, 1750.4369047619045)"
