,0
0,"[0.8236764429411386, 0.3421385248489114, 0.03804993858450434, 5, 12, 0.6771749205448041, 0.10525102343194481, 0.9302053416800453, 0.4498789212944384, 0.44761875467539647] : (52.0, 1664.2240740740742, 1691.8796296296296)"
1,"[0.12297458178514886, 0.6892306869658429, 0.7148493268065897, 6, 14, 0.8592884890421564, 0.5742506862351809, 0.5004585268846088, 0.4516465027404083, 0.016439674148995054] : (51.5, 1890.3555555555556, 1602.0925925925926)"
2,"[0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004] : (48.0, 1939.732275132275, 1450.8055555555557)"
3,"[0.24828854117733912, 0.8999707242482075, 0.7263712750326307, 1, 19, 0.8089887021281921, 0.44300790338559803, 0.5108326262050714, 0.226295668792857, 0.9835853623793082] : (47.5, 1591.5, 1728.3314814814814)"
4,"[0.965954342890369, 0.4145858805797874, 0.5024027405763758, 8, 17, 0.6860722488962545, 0.9487061328399283, 0.03804765977886704, 0.11268153953011151, 0.20435247897995978] : (44.0, 1671.9592592592592, 1793.0370370370372)"
5,"[0.6444697144772145, 0.4513466526021771, 0.006695452117377321, 6, 10, 0.797672079124042, 0.32715731648888513, 0.9481727262014195, 0.3378316111399504, 0.01488321789402236] : (44.0, 1794.8296296296296, 1808.9759259259258)"
6,"[0.46149013744505274, 0.3179329186908546, 0.3474012868453942, 8, 12, 0.6620845539596455, 0.44219250663021825, 0.6865741746387783, 0.7969803850719094, 0.5018392916934146] : (43.5, 1661.861111111111, 1855.6925925925925)"
7,"[0.7025354037835996, 0.4954568845391394, 0.24574742407340433, 8, 1, 0.27603256347642147, 0.012023653463780981, 0.15546180831645962, 0.6074143644747407, 0.8013144353346522] : (41.0, 1645.2166666666667, 1792.5185185185185)"
8,"[0.427927274450449, 0.8815703098058659, 0.1203995482783563, 6, 19, 0.6579504044504251, 0.8988056519403884, 0.056897705445631774, 0.6071726337040262, 0.5269578248579645] : (40.5, 1828.9907407407404, 1650.4074074074076)"
9,"[0.6050083140677014, 0.7616562934367219, 0.5634708391451839, 2, 11, 0.11615758890645955, 0.6985842979559154, 0.8027132203902585, 0.0505265719772382, 0.37510963988841717] : (38.0, 1546.711111111111, 1861.639682539683)"
